Gender,Age,Income_level,Product_interest,Purchase_history,Frequency_of_visit,Total_spend,Customer_satisfaction,Abandoned_cart,Will_purchase
Male,58,High,Beauty,Frequent,Monthly,Low,Very Dissatisfied,Yes,Yes
Female,49,High,Beauty,Frequent,Daily,Medium,Dissatisfied,Yes,No
Male,26,Medium,Furniture,Frequent,Weekly,High,Very Dissatisfied,No,No
Male,60,High,Beauty ,Never,Monthly,Medium,Very Satisfied,Yes,No
Female,60,High,Beauty ,Occasional,Monthly,High,Neutral,No,Yes
Other,53,Low,Groceries,Occasional,Weekly,Low,Very Satisfied,Yes,No
Male,36,Low,Furniture,Never,Monthly,Low,Very Dissatisfied,Yes,No
Other,43,High,Beauty ,Frequent,Weekly,High,Very Satisfied,Yes,Yes
Female,53,Low,Clothing,Frequent,Rarely,High,Neutral,Yes,No
Other,54,High,Beauty ,Occasional,Weekly,Medium,Satisfied,Yes,Yes
Male,24,Medium,Clothing,Never,Weekly,High,Dissatisfied,No,Yes
Other,40,High,Beauty,Rare,Daily,High,Very Dissatisfied,Yes,Yes
Other,22,Medium,Electronics,Occasional,Rarely,Medium,Dissatisfied,Yes,No
Male,36,Low,Clothing,Frequent,Daily,High,Very Satisfied,No,Yes
Male,37,Low,Furniture,Occasional,Monthly,Low,Dissatisfied,No,Yes
Female,42,Medium,Groceries,Occasional,Weekly,Low,Very Dissatisfied,Yes,No
Other,62,Medium,Clothing,Rare,Monthly,High,Very Satisfied,No,Yes
Female,58,Low,Clothing,Rare,Rarely,Low,Dissatisfied,No,No
Female,60,Medium,Clothing,Rare,Daily,Medium,Very Satisfied,No,Yes
Male,43,High,Electronics,Occasional,Monthly,Medium,Very Satisfied,Yes,Yes
Female,22,Medium,Clothing,Occasional,Weekly,High,Dissatisfied,No,No
Male,63,Low,Beauty ,Never,Weekly,Medium,Satisfied,No,Yes
Other,54,Medium,Groceries,Occasional,Monthly,Low,Dissatisfied,Yes,No
Male,22,Medium,Beauty ,Occasional,Daily,High,Satisfied,No,No
Female,60,Medium,Furniture,Rare,Rarely,Low,Dissatisfied,Yes,Yes
Female,64,Low,Clothing,Frequent,Rarely,Medium,Neutral,Yes,No
Other,19,Low,Electronics,Occasional,Monthly,Low,Dissatisfied,No,No
Male,44,Low,Groceries,Rare,Monthly,Low,Very Satisfied,Yes,No
Female,59,High,Clothing,Never,Monthly,High,Very Satisfied,Yes,Yes
Other,23,Medium,Furniture,Frequent,Daily,High,Very Satisfied,Yes,No
Male,31,Low,Clothing,Occasional,Weekly,High,Very Satisfied,Yes,No
Male,56,Medium,Groceries,Never,Daily,High,Neutral,No,No
Male,61,Medium,Electronics,Never,Rarely,High,Very Satisfied,No,Yes
Other,59,High,Electronics,Frequent,Weekly,Low,Very Satisfied,No,No
Female,64,High,Groceries,Never,Weekly,High,Satisfied,No,Yes
Other,21,Medium,Furniture,Frequent,Weekly,Medium,Very Satisfied,Yes,Yes
Female,39,Low,Furniture,Frequent,Daily,High,Very Dissatisfied,Yes,No
Female,24,High,Groceries,Never,Weekly,Medium,Very Dissatisfied,No,Yes
Female,39,High,Furniture,Occasional,Monthly,Medium,Very Satisfied,Yes,No
Male,63,Low,Clothing,Rare,Rarely,High,Very Satisfied,No,Yes
Female,53,Medium,Groceries,Rare,Daily,Medium,Neutral,Yes,No
Female,60,Low,Groceries,Never,Daily,Low,Neutral,No,No
Other,60,Low,Groceries,Frequent,Weekly,Medium,Satisfied,Yes,No
Other,52,High,Furniture,Frequent,Daily,Medium,Satisfied,No,Yes
Female,63,High,Furniture,Frequent,Daily,Low,Dissatisfied,No,Yes
Female,44,Low,Clothing,Rare,Monthly,Medium,Satisfied,Yes,Yes
Female,22,Low,Clothing,Occasional,Rarely,Medium,Very Satisfied,Yes,Yes
Other,20,High,Electronics,Never,Rarely,Medium,Satisfied,No,Yes
Male,56,High,Beauty ,Rare,Daily,High,Dissatisfied,No,No
Male,20,Low,Electronics,Frequent,Weekly,High,Very Dissatisfied,Yes,No
Female,57,Low,Electronics,Frequent,Weekly,High,Very Dissatisfied,Yes,Yes
Other,41,High,Furniture,Occasional,Monthly,Medium,Satisfied,No,Yes
Male,33,High,Electronics,Rare,Weekly,High,Satisfied,Yes,No
Other,56,Medium,Beauty ,Frequent,Daily,High,Very Satisfied,Yes,Yes
